source,target,bigram_weight,similarity_weight,total_weight,edge_type
dingir-gal,u2,0,0.6171,0.6171,similarity
(d)PA.TUG2,in,0,0.6159,0.6159,similarity
a-ak,a-bu-ul,0,0.6157,0.6157,similarity
im-me,zu-un-ki-ik,0,0.6154,0.6154,similarity
hu-tu4-un-ra,hu]-uh-tah,0,0.6153,0.6153,similarity
du-ni-ih,ul-li-na,0,0.6151,0.6151,similarity
si-ia-an,u2-me,0,0.6151,0.6151,similarity
hi-en-ga,u2-ri-pu-pi,0,0.6145,0.6145,similarity
(d)ki-{ri-ri}-ša,ka-ak-pa-ah,0,0.614,0.614,similarity
a-gi,ta-li-in,0,0.6138,0.6138,similarity
du-ni-ih,si-it-me,0,0.6137,0.6137,similarity
pi-[el,u2-me,0,0.6134,0.6134,similarity
in-gi,sah-ri,0,0.6113,0.6113,similarity
si-ia-an,si-ia-an-ku-uk-ra,0,0.6104,0.6104,similarity
u2-pa-at,u2-ri-pu-pi,0,0.6102,0.6102,similarity
la-ha-ak-ir-ra,tu4-ur,0,0.61,0.61,similarity
in-gi,mu-ur-tah,0,0.6096,0.6096,similarity
a-gi,du-ni-ih,0,0.6066,0.6066,similarity
hu-ut-tak-ha-li-ik,in-ti-ik-ka,0,0.6065,0.6065,similarity
(d)PA.TUG2,[…],0,0.6059,0.6059,similarity
a-gi,u2-ri-pu-pi,0,0.6058,0.6058,similarity
hu-ut-tak-ha-li-ik,la-an-si-ti-ir-ra,0,0.6053,0.6053,similarity
hi-en-ka,su-un-ki-ik,0,0.6052,0.6052,similarity
sah-ri,si-it-me,0,0.6052,0.6052,similarity
a-ha-ar,in-gi,0,0.605,0.605,similarity
si-ia-an-ku-uk,u2,0,0.6045,0.6045,similarity
hu-ut-tak-ha-li-ik,ki-it-ti-im-ma,0,0.6042,0.6042,similarity
si-ia-an,su-un-ki-me,0,0.6039,0.6039,similarity
an-za-an,in,0,0.6036,0.6036,similarity
[hi-ih,ku-ši-ih-ši-ma,0,0.6033,0.6033,similarity
(d)in-šu-ši-na-ak,a-gi,0,0.6032,0.6032,similarity
a-gi,un,0,0.603,0.603,similarity
hu-ut-tah-ša,zu-un-ki-ik,0,0.6027,0.6027,similarity
(d)in-šu-ši-na-ak,a-ha-a,0,0.6024,0.6024,similarity
zu-un-ki-me,šu-šu-un-ka,0,0.6023,0.6023,similarity
ku-ši-ih,mu-ur-tah,0,0.6008,0.6008,similarity
hu-us-si-ip-me,hu-ut-tak-ha-li-ik,0,0.6006,0.6006,similarity
hi-ih,u2,0,0.6003,0.6003,similarity
(md)hu-ban-nu-me-na-gi,ša-ak,0.6,0,0.6,bigram
(md)hu-ban-nu-me-na-gi,su-un-ki-ik,0.6,0,0.6,bigram
i,ul-hi,0.6,0,0.6,bigram
du-ni-ih,u2,0.6,0,0.6,bigram
ir,ta-ak-ni,0.6,0,0.6,bigram
a-ni,pa-ar,0.6,0,0.6,bigram
(d)in-šu-uš-na-ak,ul-li-na,0.6,0,0.6,bigram
(d)hu-ban-um-me-en-na-ki,ša-ak,0.6,0,0.6,bigram
me-lu-uk-ra,zu-un-ki-me,0.6,0,0.6,bigram
a-gi,si-a-an,0.6,0,0.6,bigram
(d)im,a-ak,0.6,0,0.6,bigram
(d)ši-mut,a-ak,0.6,0,0.6,bigram
su-un-ki-ip,u2-ri-pu-pi,0.6,0,0.6,bigram
(d)PA.TUG2,ku-ši-ih,0.6,0,0.6,bigram
su-un-ki-me,tu4-ur,0.6,0,0.6,bigram
du-ni-ih,si-ia-an-ku-uk-ra,0.6,0,0.6,bigram
a-ha-an,mu-ur-tah,0.6,0,0.6,bigram
ku-la-a,ku-ul-la-an-ka,0.6,0,0.6,bigram
ku-la-a,ur,0.6,0,0.6,bigram
tu4-um-pa-an-ra,ur,0.6,0,0.6,bigram
a-ak,tu4-um-pa-an-ra,0.6,0,0.6,bigram
a-ak,tu4-ru-un-ka,0.6,0,0.6,bigram
hu-ut-ta-an-ra,si-ia-an-ku-uk,0.6,0,0.6,bigram
si-ia-an-i-me,si-ia-an-ku-uk,0.6,0,0.6,bigram
si-ia-an-i-me,u2-pa-at,0.6,0,0.6,bigram
ir,la-an-si-ti-ir-ra,0.6,0,0.6,bigram
ir,si-ia-an-ku-uk,0.6,0,0.6,bigram
si-ia-an-ku-uk,si-ia-an-ra,0.6,0,0.6,bigram
ir,si-ia-an-ra,0.6,0,0.6,bigram
si-ia-an-ku-uk-ra,un,0.6,0,0.6,bigram
li-na,un,0.6,0,0.6,bigram
pi-el,te-la-ak-ni,0.6,0,0.6,bigram
a-ak,me-lu-uk-ra,0.6,0,0.6,bigram
un,zi-it-me,0.6,0,0.6,bigram
du-ni-iš-ni,un,0.6,0,0.6,bigram
a-pu,si-ia-an-ku-uk-pa,0.45,0,0.45,bigram
a-pu,u2,0.45,0,0.45,bigram
si-ia-an,te-la-ak-ni,0.45,0,0.45,bigram
ap-pa,si-ia-an,0.45,0,0.45,bigram
ap-pa,ku-ši-ih-ma,0.45,0,0.45,bigram
ku-ši-ih-ma,pi-el,0.45,0,0.45,bigram
gi-ri-na,si-ia-an-ku-uk-pa,0.45,0,0.45,bigram
gi-ri-na,hi-ih-li,0.45,0,0.45,bigram
dingir-gal,ha-at,0.45,0,0.45,bigram
si-ia-an-ku-uk-pa-ri,uk-ku-ri,0.45,0,0.45,bigram
(d)na-ah-hu-un-te-ir,ta-ak-ni,0.45,0,0.45,bigram
(d)na-ah-hu-un-te-ir,ša-ra-ra,0.45,0,0.45,bigram
pa-ar,ša-ra-ra,0.45,0,0.45,bigram
a-ni,ku-tu4-un,0.45,0,0.45,bigram
(d)hu-ban-um-me-en-na-ki,su-un-ki-ik,0.45,0,0.45,bigram
te-la-ak,ul-li-na,0.45,0,0.45,bigram
hi-en-ka,zi-it-me,0.45,0,0.45,bigram
du-ni-ih,si-ia-an-ku-uk-pa,0.45,0,0.45,bigram
si-a-an,u2-pa-at,0.45,0,0.45,bigram
(d)pi-ni-gir3,ku-ši-ih,0.45,0,0.45,bigram
(d)pi-ni-gir3,in,0.45,0,0.45,bigram
(d)im,ku-ši-ih,0.45,0,0.45,bigram
(d)ša-la,a-ak,0.45,0,0.45,bigram
(d)nin-a-li,a-ak,0.45,0,0.45,bigram
a-ha-ar,mu-ur-tah,0.45,0,0.45,bigram
li-na,si-ia-an-ku-uk-ra,0.45,0,0.45,bigram
(d)hi-iš-mi-ti-ik,a-ak,0.45,0,0.45,bigram
(d)ru-hu-ra-te-ir,a-ak,0.45,0,0.45,bigram
ap-pa,su-un-ki-ip,0.45,0,0.45,bigram
im-me,u2-ri-pu-pi,0.45,0,0.45,bigram
im-me,ku-ši-ih-ša,0.45,0,0.45,bigram
ku-ši-ih-ša,u2,0.45,0,0.45,bigram
me-lu-uk-ra,su-un-ki-me,0.45,0,0.45,bigram
li-na-pu-un,u2-me,0.45,0,0.45,bigram
li-na-pu-un,te-la-ak-ni,0.45,0,0.45,bigram
ta-ak-me,tu4-ni-ih,0.45,0,0.45,bigram
hi-en-ga,in-di-ik-ka,0.45,0,0.45,bigram
a-ha-ar,ir,0.45,0,0.45,bigram
hu-ut-ta-ak-ha-li-ik,u2-me,0.45,0,0.45,bigram
(md)hu-um-ban-nu-me-en-na-ki,ša-ak,0.45,0,0.45,bigram
(md)hu-um-ban-nu-me-en-na-ki,su-un-ki-ik,0.45,0,0.45,bigram
la-ha-ak-ir-ra,u2,0.45,0,0.45,bigram
[…],ni,0.45,0,0.45,bigram
a-pu-un,la-an-si-ti-ip-pa,0.45,0,0.45,bigram
ir,mu-ur-tah,0.45,0,0.45,bigram
a-ak,zu-un-ki-me,0.45,0,0.45,bigram
u2-pa-at,šu-šu-un-ka,0.3,0,0.3,bigram
la-an-si-ti-ip-pa,u2-pa-at,0.3,0,0.3,bigram
la-an-si-ti-ip-pa,te-pu-uh,0.3,0,0.3,bigram
te-pu-uh,ul-hi,0.3,0,0.3,bigram
a-ha-a,i,0.3,0,0.3,bigram
a-ha-a,ku-ši-ih,0.3,0,0.3,bigram
a-ak,pi-ti-ir,0.3,0,0.3,bigram
ak-ka,me-el-ka-an-ra,0.3,0,0.3,bigram
